id1,id2,classification,language1,language2,word_count1,word_count2,average_word_count,word_count_difference,sentence_count1,sentence_count2,average_sentence_count,sentence_count_difference
33983618,38376844,No,fr,it,149,138,143.5,11,4,3,3.5,1
33991741,30091766,Yes,fr,fr,164,157,160.5,7,6,4,5.0,2
33999389,29162929,No,fr,fr,168,164,166.0,4,9,5,7.0,4
34315821,38640352,No,fr,es,147,160,153.5,13,5,6,5.5,1
34819985,38865349,No,fr,es,157,157,157.0,0,7,5,6.0,2
34961841,30795635,No,fr,cs,171,150,160.5,21,4,7,5.5,3
34974577,45597914,No,fr,it,152,150,151.0,2,6,4,5.0,2
34828926,43222773,Yes,fr,pt,149,104,126.5,45,9,4,6.5,5
35300037,36766470,No,fr,ru,158,138,148.0,20,9,8,8.5,1
34921956,30909530,Yes,hu,de,134,145,139.5,11,8,10,9.0,2
35616538,37382623,Yes,fr,it,168,165,166.5,3,7,5,6.0,2
35593337,33051762,No,fr,es,152,168,160.0,16,6,5,5.5,1
35610230,40445982,No,fr,pl,161,132,146.5,29,5,7,6.0,2
35889139,49270377,No,fr,ru,158,118,138.0,40,8,7,7.5,1
35900417,38672004,No,fr,it,158,154,156.0,4,6,4,5.0,2
35903764,37313157,No,fr,el,171,156,163.5,15,7,5,6.0,2
35913579,49881500,No,fr,it,161,161,161.0,0,7,5,6.0,2
36238937,30806564,No,fr,fr,157,162,159.5,5,9,5,7.0,4
36245037,44944402,No,fr,pt,146,161,153.5,15,4,5,4.5,1
36257695,45512870,No,fr,pt,169,151,160.0,18,6,6,6.0,0
36262852,33949568,No,fr,fr,154,170,162.0,16,6,13,9.5,7
32609888,44157526,No,el,hr,160,133,146.5,27,3,3,3.0,0
32611363,25675753,No,en,en,28,56,42.0,28,2,3,2.5,1
32610132,32867625,Yes,it,it,161,157,159.0,4,7,6,6.5,1
32608250,32517822,Yes,ro,fr,158,157,157.5,1,8,5,6.5,3
32608181,33412992,No,cs,hr,145,155,150.0,10,10,7,8.5,3
32608251,33588154,No,ru,ru,142,133,137.5,9,9,9,9.0,0
32610113,10597887,No,en,en,152,768,460.0,616,6,10,8.0,4
32609881,34533856,No,hu,ru,128,133,130.5,5,7,7,7.0,0
32612202,40476655,No,hr,hr,147,148,147.5,1,6,4,5.0,2
32612222,39046094,Yes,ro,ro,161,137,149.0,24,8,3,5.5,5
32610154,44633438,No,de,bg,97,78,87.5,19,6,3,4.5,3
32625797,39248381,No,de,de,140,144,142.0,4,7,8,7.5,1
32626232,41111251,No,de,de,153,131,142.0,22,7,5,6.0,2
32625414,42274241,No,de,de,148,133,140.5,15,8,5,6.5,3
32626060,30039430,No,de,ro,85,155,120.0,70,6,7,6.5,1
32633307,38889298,No,de,de,144,147,145.5,3,8,4,6.0,4
32633257,37166970,No,de,de,78,126,102.0,48,5,9,7.0,4
32633268,32706057,Yes,de,hr,96,163,129.5,67,6,7,6.5,1
32633276,48380163,No,de,de,143,144,143.5,1,7,7,7.0,0
32633282,29983566,No,de,it,91,146,118.5,55,4,4,4.0,0
32633290,38466290,No,de,ru,100,130,115.0,30,7,3,5.0,4
32633298,36253863,No,de,ro,85,152,118.5,67,5,5,5.0,0
32610345,38137179,No,de,de,142,114,128.0,28,6,4,5.0,2
32610593,30699470,No,de,hr,105,167,136.0,62,6,10,8.0,4
32610594,46336060,No,de,de,130,136,133.0,6,6,7,6.5,1
32612441,41625826,No,ro,ro,166,108,137.0,58,12,5,8.5,7
32611587,47289801,Yes,de,de,89,86,87.5,3,9,9,9.0,0
32611586,19497777,No,de,ro,87,63,75.0,24,5,3,4.0,2
32611760,41192225,No,de,de,132,146,139.0,14,8,5,6.5,3
32633249,38870077,No,de,de,142,138,140.0,4,6,7,6.5,1
32608955,26460107,No,sk,sk,129,81,105.0,48,8,3,5.5,5
32610372,32406459,Yes,pt,pt,156,160,158.0,4,7,4,5.5,3
32608267,32542390,Yes,el,en,164,178,171.0,14,5,5,5.0,0
32610610,26871169,No,pt,pt,185,463,324.0,278,10,22,16.0,12
32613796,40269106,No,ru,ru,147,104,125.5,43,9,5,7.0,4
32610609,22402865,No,pt,es,155,7,81.0,148,6,1,3.5,5
32611980,32628028,Yes,en,en,150,159,154.5,9,4,2,3.0,2
32611590,32665483,Yes,pt,pt,127,162,144.5,35,7,5,6.0,2
32611589,39600697,No,pt,pt,162,160,161.0,2,10,6,8.0,4
32614700,34354940,Yes,ru,ru,140,144,142.0,4,10,11,10.5,1
32608189,25425927,No,en,en,157,57,107.0,100,10,3,6.5,7
32608212,47227557,No,ro,hr,149,154,151.5,5,5,2,3.5,3
32619532,34308934,No,en,en,17,17,17.0,0,1,1,1.0,0
32620343,37513327,No,en,en,30,166,98.0,136,1,3,2.0,2
32610564,30133636,No,ru,ru,86,95,90.5,9,4,5,4.5,1
32611339,49415396,Yes,en,ru,21,131,76.0,110,2,6,4.0,4
32614727,38406912,Yes,de,ru,120,129,124.5,9,5,4,4.5,1
32609855,40110980,Yes,fr,fr,154,154,154.0,0,11,5,8.0,6
32611362,29947543,Yes,en,en,31,153,92.0,122,1,6,3.5,5
32610592,36848785,No,de,de,30,33,31.5,3,2,2,2.0,0
32608266,32495726,Yes,it,it,178,166,172.0,12,10,7,8.5,3
32620377,42644400,No,fr,pl,48,121,84.5,73,1,9,5.0,8
32619530,19343872,No,en,en,136,139,137.5,3,1,1,1.0,0
32619531,34554392,No,en,en,17,17,17.0,0,1,1,1.0,0
32614913,45194780,No,es,es,109,172,140.5,63,4,7,5.5,3
32610160,32966902,Yes,es,sk,131,152,141.5,21,3,9,6.0,6
32609892,22814059,No,ru,it,138,187,162.5,49,6,4,5.0,2
32608168,15578205,No,ro,ro,150,56,103.0,94,6,5,5.5,1
32608231,32512083,Yes,ro,ru,109,131,120.0,22,3,7,5.0,4
32619529,37328589,No,en,en,136,133,134.5,3,1,1,1.0,0
32613009,47068795,No,en,sk,167,138,152.5,29,8,5,6.5,3
32604032,40278735,No,ro,ro,176,172,174.0,4,4,4,4.0,0
32606785,40122802,No,ro,ro,176,182,179.0,6,4,7,5.5,3
32608162,35774234,No,pt,pt,161,156,158.5,5,8,9,8.5,1
32638579,32691068,Yes,pt,hr,167,45,106.0,122,10,3,6.5,7
32593226,15295009,No,ro,ro,162,200,181.0,38,8,5,6.5,3
32715431,26993272,No,hr,hr,102,105,103.5,3,10,8,9.0,2
32710617,29105935,No,hr,hr,100,105,102.5,5,7,9,8.0,2
32712123,27788845,No,hr,hr,96,95,95.5,1,8,7,7.5,1
32713841,42417683,No,hr,hr,97,101,99.0,4,9,11,10.0,2
32714628,27662649,No,hr,hr,96,99,97.5,3,9,8,8.5,1
32714629,28973022,No,hr,hr,92,101,96.5,9,9,10,9.5,1
32608171,23013610,No,cs,el,161,15,88.0,146,15,1,8.0,14
32608209,27596631,Yes,hu,en,110,56,83.0,54,7,2,4.5,5
32613033,33405411,No,hr,mk,155,151,153.0,4,9,16,12.5,7
32613349,48864327,No,hr,hr,171,162,166.5,9,7,10,8.5,3
32614887,27563024,No,de,de,127,143,135.0,16,9,12,10.5,3
32620374,30652637,No,de,de,11,11,11.0,0,1,1,1.0,0
32610133,41385920,Yes,cs,cs,157,144,150.5,13,8,7,7.5,1
32610334,34626202,No,cs,es,159,166,162.5,7,12,7,9.5,5
32610354,50109484,No,it,de,150,106,128.0,44,7,5,6.0,2
32610574,32523425,Yes,cs,it,157,161,159.0,4,12,4,8.0,8
32610633,48495342,No,hr,hr,156,155,155.5,1,24,22,23.0,2
32609841,28608089,No,cs,fr,156,154,155.0,2,8,8,8.0,0
32609865,23501227,No,pt,pt,155,510,332.5,355,6,12,9.0,6
32609903,12899242,No,sk,ro,133,58,95.5,75,7,4,5.5,3
32611258,45752673,Yes,cs,sk,153,77,115.0,76,8,4,6.0,4
42380222,42125233,No,en,en,5,5,5.0,0,1,1,1.0,0
32615116,26539467,No,de,de,129,132,130.5,3,9,15,12.0,6
32616331,25952318,Yes,ru,it,148,153,150.5,5,9,7,8.0,2
32608177,37160486,No,pt,pt,173,172,172.5,1,5,6,5.5,1
32615434,41570892,No,de,de,123,125,124.0,2,6,8,7.0,2
32611405,32289328,Yes,en,en,23,159,91.0,136,1,7,4.0,6
32619528,25119468,Yes,en,en,137,137,137.0,0,1,1,1.0,0
32623457,41367943,No,hr,hr,157,158,157.5,1,1,8,4.5,7
32608187,34643752,No,en,el,166,136,151.0,30,4,5,4.5,1
32608206,39284405,Yes,en,en,167,169,168.0,2,6,5,5.5,1
32610586,29826454,No,ru,ru,137,139,138.0,2,8,2,5.0,6
32619527,34539330,No,en,en,17,17,17.0,0,1,1,1.0,0
32610585,28492382,No,ru,ru,129,117,123.0,12,5,4,4.5,1
32613326,36809081,No,pt,pt,155,88,121.5,67,8,4,6.0,4
32619526,32675050,Yes,en,de,40,137,88.5,97,1,6,3.5,5
32609819,39205191,Yes,en,en,158,168,163.0,10,8,5,6.5,3
32611312,32634713,Yes,en,bg,171,141,156.0,30,4,7,5.5,3
32619525,25139693,No,en,en,137,138,137.5,1,1,1,1.0,0
32616615,40918773,No,ru,ru,109,147,128.0,38,6,11,8.5,5
32615103,32222081,Yes,es,fr,174,164,169.0,10,4,4,4.0,0
32613554,32696730,Yes,ro,hr,124,131,127.5,7,9,6,7.5,3
32619524,20754648,No,en,en,142,137,139.5,5,1,1,1.0,0
32610591,14702565,No,de,ro,4,3,3.5,1,1,1,1.0,0
32611591,27929694,No,pt,pt,167,147,157.0,20,8,5,6.5,3
32613998,32611832,Yes,ru,ru,116,86,101.0,30,5,9,7.0,4
32608235,32606752,Yes,it,it,88,86,87.0,2,5,6,5.5,1
32608982,32608153,Yes,it,it,178,178,178.0,0,12,12,12.0,0
32616614,28532353,No,ru,ru,114,122,118.0,8,8,9,8.5,1
32608981,30984714,Yes,ru,ru,127,123,125.0,4,3,3,3.0,0
32610635,38776516,No,pt,pt,169,168,168.5,1,3,9,6.0,6
32609789,32609769,Yes,it,it,150,150,150.0,0,11,11,11.0,0
32609825,48159153,No,es,es,163,168,165.5,5,6,4,5.0,2
32610348,32668934,No,it,it,162,89,125.5,73,12,5,8.5,7
32616334,45956274,No,es,it,112,163,137.5,51,6,11,8.5,5
32610199,32554842,Yes,fr,it,141,151,146.0,10,7,6,6.5,1
32610560,24581371,No,en,el,152,96,124.0,56,7,2,4.5,5
32608202,28849066,No,fr,fr,169,164,166.5,5,5,7,6.0,2
32610600,31064866,No,it,nl,145,162,153.5,17,5,14,9.5,9
32611256,45665002,No,it,hr,158,156,157.0,2,7,8,7.5,1
32611284,23778926,No,cs,cs,144,31,87.5,113,9,3,6.0,6
32622506,32242270,Yes,en,en,166,171,168.5,5,5,9,7.0,4
32633245,35589576,No,de,de,146,131,138.5,15,7,4,5.5,3
32633240,47353730,No,de,de,135,137,136.0,2,8,4,6.0,4
32611279,28348508,No,en,en,175,298,236.5,123,7,7,7.0,0
32614749,34133304,No,nl,it,138,153,145.5,15,6,8,7.0,2
32607456,21406534,No,ru,en,96,2985,1540.5,2889,4,7,5.5,3
32611286,32857360,Yes,pt,pt,166,306,236.0,140,3,6,4.5,3
32610596,38909469,No,ru,ru,145,133,139.0,12,10,5,7.5,5
32610614,26913279,No,en,ro,153,153,153.0,0,6,9,7.5,3
32607452,30559740,No,ru,ru,108,102,105.0,6,4,4,4.0,0
32610326,22365321,No,en,it,172,286,229.0,114,6,3,4.5,3
32616618,41714883,No,es,it,86,152,119.0,66,4,8,6.0,4
32608229,34210106,No,el,hr,146,139,142.5,7,8,5,6.5,3
32609069,35727313,Yes,en,hr,176,145,160.5,31,7,6,6.5,1
32609844,37546530,No,ru,ru,60,63,61.5,3,3,3,3.0,0
32611270,32595173,Yes,en,es,153,157,155.0,4,3,5,4.0,2
32610622,33255437,Yes,fr,nl,149,133,141.0,16,6,5,5.5,1
32620015,49991531,Yes,pt,pt,43,170,106.5,127,2,9,5.5,7
32608233,42853040,No,el,el,68,68,68.0,0,2,2,2.0,0
32608956,12049833,Yes,en,en,166,220,193.0,54,8,3,5.5,5
32609050,41007915,No,fr,fr,179,167,173.0,12,9,5,7.0,4
32611606,32608956,Yes,en,en,166,166,166.0,0,8,8,8.0,0
32611585,34020741,No,de,de,27,27,27.0,0,2,2,2.0,0
32608971,5600001,No,hu,ro,144,99,121.5,45,5,3,4.0,2
32625833,37503755,No,en,pl,157,127,142.0,30,4,8,6.0,4
32622454,32650395,Yes,de,de,123,123,123.0,0,4,4,4.0,0
32604256,32596855,No,ro,ro,166,179,172.5,13,8,8,8.0,0
32679277,44269545,No,hr,hr,91,104,97.5,13,2,7,4.5,5
32612211,44269545,No,hr,hr,91,104,97.5,13,2,7,4.5,5
32619514,22497426,No,pt,pt,144,175,159.5,31,7,8,7.5,1
32609813,31041065,No,pt,pt,168,164,166.0,4,7,9,8.0,2
32609859,29271042,No,en,en,158,21,89.5,137,1,1,1.0,0
32611568,47107326,Yes,cs,cs,155,148,151.5,7,7,6,6.5,1
32611569,49266467,No,cs,pt,152,173,162.5,21,9,5,7.0,4
32607546,32608154,Yes,it,it,146,150,148.0,4,11,11,11.0,0
32611643,33014851,Yes,en,pt,148,151,149.5,3,8,4,6.0,4
32610114,25946904,No,es,es,166,170,168.0,4,6,3,4.5,3
32610360,41674500,No,fr,it,184,167,175.5,17,13,10,11.5,3
32610159,32663741,Yes,it,ro,152,153,152.5,1,5,5,5.0,0
32610579,38595449,No,en,en,177,179,178.0,2,4,5,4.5,1
32610624,33546164,Yes,en,en,169,173,171.0,4,8,6,7.0,2
32610621,21741370,No,fr,it,175,15,95.0,160,7,2,4.5,5
32611582,33058082,Yes,ru,ru,133,137,135.0,4,3,7,5.0,4
32610595,32698462,Yes,ru,ru,145,138,141.5,7,10,9,9.5,1
32611247,32611768,Yes,pt,pt,148,157,152.5,9,9,5,7.0,4
32610638,32584283,Yes,pt,pt,153,156,154.5,3,5,3,4.0,2
32611265,40309164,No,pt,pt,169,142,155.5,27,4,4,4.0,0
32609833,32663793,Yes,cs,sk,145,138,141.5,7,9,7,8.0,2
32609822,42511911,No,en,es,167,151,159.0,16,6,3,4.5,3
32620175,43568620,No,pt,pt,122,157,139.5,35,5,6,5.5,1
32610363,34634797,No,pt,ro,160,174,167.0,14,7,3,5.0,4
32609886,29208463,No,pl,pl,143,157,150.0,14,6,7,6.5,1
32611604,32768188,Yes,pt,pt,152,180,166.0,28,4,7,5.5,3
32610627,32387128,No,fr,fr,165,133,149.0,32,7,7,7.0,0
32657009,42128421,No,de,de,21,132,76.5,111,3,5,4.0,2
32609802,34974533,No,en,en,155,161,158.0,6,6,8,7.0,2
32609816,42501793,No,pt,it,164,153,158.5,11,5,5,5.0,0
32608253,48483382,No,pt,pt,159,73,116.0,86,5,2,3.5,3
32604481,32596855,No,ro,ro,160,179,169.5,19,4,8,6.0,4
32594155,32996429,Yes,ro,ro,563,163,363.0,400,29,8,18.5,21
32610370,32499906,Yes,en,de,152,137,144.5,15,6,3,4.5,3
32613787,37272612,No,ro,ru,141,140,140.5,1,8,7,7.5,1
32616617,30253680,No,es,pt,136,373,254.5,237,5,11,8.0,6
32611263,28776304,Yes,fr,it,150,162,156.0,12,7,5,6.0,2
32610623,50079188,No,en,en,186,182,184.0,4,11,12,11.5,1
32611962,31881332,Yes,pt,pt,161,61,111.0,100,7,2,4.5,5
32610123,49631519,No,pt,pt,153,145,149.0,8,5,5,5.0,0
32609890,32647418,Yes,el,el,155,157,156.0,2,7,7,7.0,0
32643446,32140540,No,pl,el,152,160,156.0,8,13,3,8.0,10
32613322,36724500,Yes,es,cs,171,148,159.5,23,5,6,5.5,1
32613491,35211118,No,bg,hr,156,149,152.5,7,8,10,9.0,2
32614875,49688172,No,es,es,177,167,172.0,10,5,5,5.0,0
32610121,23333442,No,pt,pt,135,423,279.0,288,6,16,11.0,10
32610157,32530673,Yes,el,ro,166,171,168.5,5,4,6,5.0,2
32610578,28040778,Yes,en,pt,165,340,252.5,175,5,11,8.0,6
32610651,29621732,No,ru,ru,134,143,138.5,9,6,8,7.0,2
32609856,28065657,Yes,en,en,48,48,48.0,0,1,1,1.0,0
32613983,49646814,No,es,es,150,180,165.0,30,2,11,6.5,9
32614186,32569021,Yes,es,ro,169,106,137.5,63,5,3,4.0,2
32611574,50040379,No,en,en,191,197,194.0,6,4,5,4.5,1
32611593,32947471,No,fr,it,163,94,128.5,69,7,4,5.5,3
32611796,29600126,No,es,es,169,122,145.5,47,5,4,4.5,1
32951279,42931614,No,fr,pt,148,175,161.5,27,5,7,6.0,2
32609901,32359213,Yes,it,it,164,165,164.5,1,3,5,4.0,2
32613357,32072463,No,en,en,14,14,14.0,0,1,1,1.0,0
32609065,30622276,Yes,fr,fr,180,174,177.0,6,7,6,6.5,1
32610162,32615900,Yes,it,it,75,99,87.0,24,5,5,5.0,0
32610368,33555348,No,en,fr,153,157,155.0,4,9,5,7.0,4
32610351,35018314,No,it,it,178,161,169.5,17,12,4,8.0,8
32617081,33501355,No,hr,hr,147,115,131.0,32,10,4,7.0,6
32610599,32610107,Yes,it,it,150,151,150.5,1,11,11,11.0,0
32611306,48560062,No,en,bg,162,90,126.0,72,2,8,5.0,6
32609839,33242516,No,cs,it,160,163,161.5,3,13,7,10.0,6
32610161,26728667,No,es,es,111,158,134.5,47,1,1,1.0,0
32608084,23169891,Yes,pt,pt,166,73,119.5,93,6,4,5.0,2
32610350,26720432,No,es,de,163,86,124.5,77,6,7,6.5,1
32611404,20412736,Yes,en,en,20,30,25.0,10,1,1,1.0,0
32646843,34280434,No,it,it,168,165,166.5,3,9,3,6.0,6
32610598,32440332,Yes,es,ru,150,123,136.5,27,2,6,4.0,4
32638571,32587094,Yes,pt,pt,146,145,145.5,1,4,8,6.0,4
32610156,39202373,No,pl,de,145,132,138.5,13,9,7,8.0,2
32609818,43269415,No,pt,pt,159,151,155.0,8,6,5,5.5,1
32611581,49441679,No,ru,ru,143,157,150.0,14,3,5,4.0,2
32692241,34557591,No,es,it,174,168,171.0,6,5,7,6.0,2
32611319,32598971,Yes,ru,ru,124,125,124.5,1,4,5,4.5,1
32692240,35210730,Yes,es,en,156,162,159.0,6,8,4,6.0,4
32611565,32989565,Yes,it,it,167,158,162.5,9,8,7,7.5,1
32612434,22308959,No,es,nl,172,41,106.5,131,7,2,4.5,5
32623652,42207136,No,hr,hr,125,110,117.5,15,6,8,7.0,2
32610340,27528886,No,en,en,162,24,93.0,138,1,1,1.0,0
32692753,49856013,No,es,it,159,156,157.5,3,6,4,5.0,2
32610163,29989606,No,el,ro,111,72,91.5,39,7,3,5.0,4
32694004,32798102,Yes,es,es,158,165,161.5,7,7,4,5.5,3
32611311,41009710,No,en,it,162,164,163.0,2,5,7,6.0,2
32613003,22728273,No,ru,de,127,42,84.5,85,5,3,4.0,2
32613308,36133520,No,ru,es,141,168,154.5,27,8,6,7.0,2
32609875,42799967,No,en,en,136,175,155.5,39,7,5,6.0,2
32610375,39193616,No,es,bg,168,177,172.5,9,6,11,8.5,5
32611253,41593327,No,en,de,180,116,148.0,64,5,3,4.0,2
32610117,32878395,Yes,en,hu,151,145,148.0,6,5,7,6.0,2
32695167,38316222,No,es,pt,166,148,157.0,18,4,5,4.5,1
32620376,32032987,No,fr,fr,65,181,123.0,116,2,9,5.5,7
32608274,29823092,Yes,ru,ru,99,102,100.5,3,4,4,4.0,0
32608775,28756677,No,ro,fr,11,168,89.5,157,2,5,3.5,3
32610210,43053899,No,en,bg,187,124,155.5,63,4,6,5.0,2
32611789,32652113,Yes,en,en,154,105,129.5,49,3,9,6.0,6
32696049,45270757,No,es,es,176,159,167.5,17,9,5,7.0,4
32609861,31194775,Yes,en,en,180,158,169.0,22,6,5,5.5,1
32610645,621471,No,ro,ro,164,97,130.5,67,4,3,3.5,1
32612155,32410665,Yes,pt,pt,158,160,159.0,2,4,5,4.5,1
32610177,35730084,No,bg,bg,165,153,159.0,12,9,4,6.5,5
32609870,40479161,No,ro,hr,176,150,163.0,26,4,6,5.0,2
32696048,49402834,No,es,fr,158,148,153.0,10,3,5,4.0,2
32611634,30290538,No,ru,ru,139,127,133.0,12,7,6,6.5,1
32638638,30067051,No,pt,fr,166,161,163.5,5,8,9,8.5,1
32696500,32609769,Yes,es,it,162,150,156.0,12,7,11,9.0,4
32614903,32615903,Yes,nl,el,153,133,143.0,20,10,6,8.0,4
32610637,22019659,No,pt,pt,175,611,393.0,436,8,34,21.0,26
32697806,32533007,Yes,es,es,165,164,164.5,1,10,2,6.0,8
32614703,34696532,Yes,es,es,180,174,177.0,6,8,6,7.0,2
32609809,34779811,Yes,bg,hr,155,171,163.0,16,9,16,12.5,7
32609848,32311748,No,fr,fr,153,153,153.0,0,4,4,4.0,0
32612397,41918134,No,pt,pt,159,154,156.5,5,4,5,4.5,1
32613773,29612793,No,ru,it,152,177,164.5,25,7,9,8.0,2
32611640,31566433,Yes,en,es,42,168,105.0,126,2,4,3.0,2
32609864,48027745,No,en,en,154,169,161.5,15,3,4,3.5,1
32698144,35496753,Yes,es,es,150,167,158.5,17,7,4,5.5,3
32608242,41382189,No,ru,ru,94,82,88.0,12,3,1,2.0,2
32614197,32604809,Yes,ru,ro,138,153,145.5,15,3,6,4.5,3
32622596,21474079,No,en,en,31,33,32.0,2,1,1,1.0,0
32698592,43517857,No,es,fr,164,122,143.0,42,8,6,7.0,2
32613314,42619703,No,en,en,172,176,174.0,4,8,1,4.5,7
32613313,34314309,No,en,en,179,176,177.5,3,11,6,8.5,5
